| Start Node | End Node | Attack | Vulnerability Type | Vulnerability Name |
| 32 | 64 | Modify | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 32 | 64 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 32 | 66 | Inject | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 32 | 66 | Drop | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 32 | 66 | Modify | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 32 | 66 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 33 | 64 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 33 | 66 | Inject | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 33 | 66 | Drop | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 33 | 66 | Modify | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 33 | 66 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 34 | 47 | Inject | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 34 | 47 | Drop | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 34 | 47 | Modify | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 34 | 47 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 32 | Inject | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 47 | Inject | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 47 | Modify | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 47 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 66 | Inject | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 66 | Drop | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 66 | Modify | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
| 38 | 66 | Replay | Known Vulnerability | Incarceration with RRCReject and RRCRelease |
