| Start Node | End Node | Attack | Vulnerability Type | Vulnerability Name |
|------------|----------|--------|--------------------|--------------------|
| 2093 | 6507 | Inject | Known Vulnerability | V2X Message Spoofing over PC5 |
| 2319 | 6077 | Drop | New Vulnerability | Emergency Session Teardown via Forged Signaling to Victim |
| 2319 | 6077 | Modify | New Vulnerability | Emergency Session Teardown via Forged Signaling to Victim |
| 2319 | 6077 | Replay | New Vulnerability | Emergency Session Teardown via Forged Signaling to Victim |
| 2062 | 2098 | Drop | New Vulnerability | Multi-USIM Problematic Reachability |
| 79 | 85 | Drop | Known Vulnerability | Neutralizing TMSI Refreshment |
| 79 | 1293 | Drop | Known Vulnerability | Neutralizing TMSI Refreshment |
| 83 | 1293 | Inject | Known Vulnerability | Neutralizing TMSI Refreshment |
| 2062 | 2073 | Replay | Known Vulnerability | NAS Counter Reset |
| 5810 | 4204 | Replay | Known Vulnerability | NAS Counter Reset |
| 4890 | 4888 | Replay | Known Vulnerability | NAS Counter Reset |
| 4890 | 6841 | Replay | Known Vulnerability | NAS Counter Reset |
| 6730 | 1693 | Inject | Known Vulnerability | Uplink NAS Counter Desynchronization |
| 2062 | 2073 | Modify | Known Vulnerability | Uplink NAS Counter Desynchronization |
| 2724 | 2351 | Modify | Known Vulnerability | Uplink NAS Counter Desynchronization |
| 2328 | 2724 | Modify | Known Vulnerability | Uplink NAS Counter Desynchronization |
| 2062 | 2073 | Replay | Known Vulnerability | Exposing NAS Sequence Number |
| 5810 | 4204 | Replay | Known Vulnerability | Exposing NAS Sequence Number |
| 4890 | 4888 | Replay | Known Vulnerability | Exposing NAS Sequence Number |
| 6843 | 4888 | Replay | Known Vulnerability | Exposing NAS Sequence Number |
| 300 | 1881 | Inject | Known Vulnerability | Cutting off the Device |
| 300 | 1881 | Modify | Known Vulnerability | Cutting off the Device |
| 300 | 5092 | Inject | Known Vulnerability | Cutting off the Device |
| 300 | 5093 | Inject | Known Vulnerability | Cutting off the Device |
| 300 | 5093 | Modify | Known Vulnerability | Cutting off the Device |
| 300 | 5093 | Replay | Known Vulnerability | Cutting off the Device |
| 300 | 5118 | Inject | Known Vulnerability | Cutting off the Device |
| 300 | 5118 | Modify | Known Vulnerability | Cutting off the Device |
| 300 | 5118 | Replay | Known Vulnerability | Cutting off the Device |
| 6982 | 300 | Modify | Known Vulnerability | Cutting off the Device |
| 2110 | 3482 | Inject | Known Vulnerability | Exposure of SQN |
| 2328 | 2352 | Inject | Known Vulnerability | Exposure of SQN |
| 1790 | 4383 | Modify | Known Vulnerability | Exposure of SQN |
